CO2-kompensation, carbon offsetting
klimapartnerskab, climate partnership
klimavenlig, climate-friendly
miljøvenlig, environmentally friendly
bæredygtigt samfund, sustainable society
grøn bølge, green wave
klimakamp, climate fight
klimahandling, climate action
klimaforandring, climate change
klimatopmøde, climate summit
grøn politik, green policy
klimaplan, climate plan
klimatiltag, climate measures
klimaindsats, climate effort
klimarapport, climate report
klimainnovation, climate innovation
klimaændringer, climate changes
miljøbevidsthed, environmental awareness
klimabevidsthed, climate awareness
grønne initiativer, green initiatives
klimakrisen, climate crisis
klimaudfordringen, climate challenge
klimaændringskonsekvenser, climate change consequences
klimakampen, climate fight
bæredygtig omstilling, sustainable transition
grønne løsninger, green solutions
klimabekæmpelse, climate combat
klimaberedskab, climate readiness
klimaresiliens, climate resilience
miljøvenlighed, eco-friendliness
grønne investeringer, green investments
CO2-reduktion, CO2 reduction
bæredygtighedsrapport, sustainability report
klimabeskyttelse, climate protection
miljøbevarelse, environmental preservation
miljøopmærksomhed, environmental awareness
bæredygtighedsbevægelse, sustainability movement
bæredygtighedserklæring, sustainability declaration
bæredygtighedsprogram, sustainability program
miljøcertificering, environmental certification
grøn innovation, green innovation
bæredygtighedsstrategi, sustainability strategy
grøn mobilitet, green mobility
bæredygtighedsinitiativ, sustainability initiative
grøn arkitektur, green architecture
bæredygtighedspolitik, sustainability policy
grønne transportmuligheder, green transportation options
bæredygtighedsbevidsthed, sustainability awareness
grønne energikilder, green energy sources
bæredygtig byudvikling, sustainable urban development
grøn byplanlægning, green urban planning
bæredygtige transportformer, sustainable modes of transportation
grønne byrum, green urban spaces
bæredygtige bygninger, sustainable buildings
bæredygtig forvaltning, sustainable management
grøn vækst, green growth
klimavenligt landbrug, climate-friendly agriculture
bæredygtige fødevaresystemer, sustainable food systems
grønne produkter, green products
bæredygtig turisme, sustainable tourism
grønne forretningsmodeller, green business models
bæredygtige forbrugervaner, sustainable consumer habits
grønne indkøb, green procurement
bæredygtige forsyningskæder, sustainable supply chains
bæredygtighedsmål, sustainability goals
grønne strategier, green strategies
bæredygtige tiltag, sustainable initiatives
bæredygtige byer, sustainable cities
grønne byer, green cities
bæredygtig mobilitet, sustainable mobility
grønne transportløsninger, green transport solutions
bæredygtige energikilder, sustainable energy sources
grønne energiformer, green energy forms
bæredygtig infrastruktur, sustainable infrastructure
grønne bygninger, green buildings
bæredygtige boliger, sustainable homes
grønne boliger, green homes
bæredygtig vandforvaltning, sustainable water management
grøn vandhåndtering, green water management
bæredygtig affaldshåndtering, sustainable waste management
grøn affaldshåndtering, green waste management
bæredygtig ressourceforvaltning, sustainable resource management
grøn ressourceudnyttelse, green resource utilization
bæredygtige forsyningsnet, sustainable supply networks
grønne forsyningsnet, green supply networks
bæredygtig produktion, sustainable production
grøn produktion, green production
bæredygtig forbrug, sustainable consumption
grøn forbrug, green consumption
bæredygtige forbrugervalg, sustainable consumer choices
grønne forbrugervalg, green consumer choices
bæredygtige forbrugsmønstre, sustainable consumption patterns
grønne forbrugsmønstre, green consumption patterns
bæredygtige indkøb, sustainable procurement
bæredygtige produktionsmetoder, sustainable production methods
grønne produktionsmetoder, green production methods
bæredygtige produktionsprocesser, sustainable production processes
grønne produktionsprocesser, green production processes
bæredygtig forsyningskæde, sustainable supply chain
grøn forsyningskæde, green supply chain
bæredygtig logistik, sustainable logistics
grøn logistik, green logistics
bæredygtige transportløsninger, sustainable transport solutions
bæredygtige rejseformer, sustainable travel options
grønne rejseformer, green travel options
bæredygtige transportmidler, sustainable modes of transport
grønne transportmidler, green modes of transport
bæredygtige rejsemuligheder, sustainable travel options
grønne rejsemuligheder, green travel options
bæredygtige transportsystemer, sustainable transport systems
grønne transportsystemer, green transport systems
bæredygtige transportinfrastrukturer, sustainable transport infrastructures
grønne transportinfrastrukturer, green transport infrastructures
bæredygtige transportnetværk, sustainable transport networks
grønne transportnetværk, green transport networks
bæredygtig transportudvikling, sustainable transport development
grøn transportudvikling, green transport development
bæredygtige byløsninger, sustainable urban solutions
grønne byløsninger, green urban solutions
bæredygtige byplaner, sustainable urban plans
grønne byplaner, green urban plans
bæredygtige byinfrastrukturer, sustainable urban infrastructures
grønne byinfrastrukturer, green urban infrastructures
bæredygtige byrum, sustainable urban spaces
bæredygtige bymiljøer, sustainable urban environments
grønne bymiljøer, green urban environments
bæredygtige byfornyelsesprojekter, sustainable urban renewal projects
grønne byfornyelsesprojekter, green urban renewal projects
bæredygtige byudviklingsprojekter, sustainable urban development projects
grønne byudviklingsprojekter, green urban development projects
bæredygtige byudviklingsstrategier, sustainable urban development strategies
grønne byudviklingsstrategier, green urban development strategies
bæredygtige byudviklingsplaner, sustainable urban development plans
grønne byudviklingsplaner, green urban development plans
bæredygtige byforbedringsprojekter, sustainable urban improvement projects
grønne byforbedringsprojekter, green urban improvement projects
bæredygtige byforbedringsstrategier, sustainable urban improvement strategies
grønne byforbedringsstrategier, green urban improvement strategies
bæredygtige byforbedringsplaner, sustainable urban improvement plans
grønne byforbedringsplaner, green urban improvement plans
miljø, environment
klima, climate
natur, nature
global opvarmning, global warming
kuldioxid, carbon dioxide
drivhusgas, greenhouse gas
forurening, pollution
energibesparelse, energy conservation
biologisk mangfoldighed, biodiversity
skovrydning, deforestation
affald, waste
vedvarende energi, renewable energy
fossilbrændstof, fossil fuel
co2-neutral, carbon-neutral
klimaforandringerne, climate changes
klimaforandringer, climate changes
energipolitik, energy policy
forurenet, polluted
bæredygtige, sustainable
klimaudfordringer, climate challenges
forurene, to pollute
energibesparelser, energy savings
klimaændringer, climate change
forurenende, polluting
miljøforurening, environmental pollution
